date,hour,collision_count,date_hour
06/04/2020,0,1,2020040600
06/04/2020,1,0,2020040601
06/04/2020,2,0,2020040602
06/04/2020,3,0,2020040603
06/04/2020,4,0,2020040604
06/04/2020,5,0,2020040605
06/04/2020,6,0,2020040606
06/04/2020,7,2,2020040607
06/04/2020,8,0,2020040608
06/04/2020,9,0,2020040609
06/04/2020,10,1,2020040610
06/04/2020,11,2,2020040611
06/04/2020,12,0,2020040612
06/04/2020,13,1,2020040613
06/04/2020,14,2,2020040614
06/04/2020,15,2,2020040615
06/04/2020,17,3,2020040617
06/04/2020,18,3,2020040618
06/04/2020,19,2,2020040619
06/04/2020,20,3,2020040620
06/04/2020,21,0,2020040621
06/04/2020,22,1,2020040622
06/04/2020,23,1,2020040623
07/04/2020,0,1,2020040700
07/04/2020,1,0,2020040701
07/04/2020,2,0,2020040702
07/04/2020,3,1,2020040703
07/04/2020,4,0,2020040704
07/04/2020,5,0,2020040705
07/04/2020,6,0,2020040706
07/04/2020,7,4,2020040707
07/04/2020,8,6,2020040708
07/04/2020,9,0,2020040709
07/04/2020,10,0,2020040710
07/04/2020,11,2,2020040711
07/04/2020,12,1,2020040712
07/04/2020,13,1,2020040713
07/04/2020,14,4,2020040714
07/04/2020,15,3,2020040715
07/04/2020,16,1,2020040716
07/04/2020,17,1,2020040717
07/04/2020,18,2,2020040718
07/04/2020,19,1,2020040719
07/04/2020,20,0,2020040720
07/04/2020,21,2,2020040721
07/04/2020,22,0,2020040722
07/04/2020,23,0,2020040723
08/04/2020,0,0,2020040800
08/04/2020,1,1,2020040801
08/04/2020,2,0,2020040802
08/04/2020,3,0,2020040803
08/04/2020,4,1,2020040804
08/04/2020,5,1,2020040805
08/04/2020,6,0,2020040806
08/04/2020,7,0,2020040807
08/04/2020,8,2,2020040808
08/04/2020,9,0,2020040809
08/04/2020,10,1,2020040810
08/04/2020,11,2,2020040811
08/04/2020,12,0,2020040812
08/04/2020,13,1,2020040813
08/04/2020,14,2,2020040814
08/04/2020,15,1,2020040815
08/04/2020,16,0,2020040816
08/04/2020,17,0,2020040817
08/04/2020,18,1,2020040818
08/04/2020,19,1,2020040819
08/04/2020,20,2,2020040820
08/04/2020,21,0,2020040821
08/04/2020,22,0,2020040822
08/04/2020,23,0,2020040823
09/04/2020,0,0,2020040900
09/04/2020,1,0,2020040901
09/04/2020,2,0,2020040902
09/04/2020,3,1,2020040903
09/04/2020,4,0,2020040904
09/04/2020,5,0,2020040905
09/04/2020,6,0,2020040906
09/04/2020,7,0,2020040907
09/04/2020,8,0,2020040908
09/04/2020,9,1,2020040909
09/04/2020,10,0,2020040910
09/04/2020,11,0,2020040911
09/04/2020,12,1,2020040912
09/04/2020,13,2,2020040913
09/04/2020,14,2,2020040914
09/04/2020,15,5,2020040915
09/04/2020,16,0,2020040916
09/04/2020,17,1,2020040917
09/04/2020,18,0,2020040918
09/04/2020,19,2,2020040919
09/04/2020,20,0,2020040920
09/04/2020,21,1,2020040921
09/04/2020,22,1,2020040922
09/04/2020,23,1,2020040923
10/04/2020,0,0,2020041000
10/04/2020,1,0,2020041001
10/04/2020,2,0,2020041002
10/04/2020,3,0,2020041003
10/04/2020,4,0,2020041004
10/04/2020,5,1,2020041005
10/04/2020,6,0,2020041006
10/04/2020,7,1,2020041007
10/04/2020,8,0,2020041008
10/04/2020,9,1,2020041009
10/04/2020,10,0,2020041010
10/04/2020,11,1,2020041011
10/04/2020,12,3,2020041012
10/04/2020,13,2,2020041013
10/04/2020,14,0,2020041014
10/04/2020,15,4,2020041015
10/04/2020,16,0,2020041016
10/04/2020,17,3,2020041017
10/04/2020,18,2,2020041018
10/04/2020,19,3,2020041019
10/04/2020,20,0,2020041020
10/04/2020,21,1,2020041021
10/04/2020,22,0,2020041022
10/04/2020,23,0,2020041023
11/04/2020,0,0,2020041100
11/04/2020,1,2,2020041101
11/04/2020,2,0,2020041102
11/04/2020,3,0,2020041103
11/04/2020,4,1,2020041104
11/04/2020,5,0,2020041105
11/04/2020,6,0,2020041106
11/04/2020,7,0,2020041107
11/04/2020,8,0,2020041108
11/04/2020,9,1,2020041109
11/04/2020,10,0,2020041110
11/04/2020,11,2,2020041111
11/04/2020,12,4,2020041112
11/04/2020,13,2,2020041113
11/04/2020,14,1,2020041114
11/04/2020,15,1,2020041115
11/04/2020,16,5,2020041116
11/04/2020,17,3,2020041117
11/04/2020,18,1,2020041118
11/04/2020,19,1,2020041119
11/04/2020,20,1,2020041120
11/04/2020,21,1,2020041121
11/04/2020,22,0,2020041122
11/04/2020,23,0,2020041123
12/04/2020,0,1,2020041200
12/04/2020,1,0,2020041201
12/04/2020,2,0,2020041202
12/04/2020,3,0,2020041203
12/04/2020,4,0,2020041204
12/04/2020,5,0,2020041205
12/04/2020,6,0,2020041206
12/04/2020,7,0,2020041207
12/04/2020,8,1,2020041208
12/04/2020,9,1,2020041209
12/04/2020,10,2,2020041210
12/04/2020,11,0,2020041211
12/04/2020,12,1,2020041212
12/04/2020,13,2,2020041213
12/04/2020,14,2,2020041214
12/04/2020,15,0,2020041215
12/04/2020,16,1,2020041216
12/04/2020,17,2,2020041217
12/04/2020,18,4,2020041218
12/04/2020,19,2,2020041219
12/04/2020,20,0,2020041220
12/04/2020,21,1,2020041221
12/04/2020,22,0,2020041222
12/04/2020,23,2,2020041223
